user_id,job
343,production & logistique
344,
345,
346,accounting
347,accounting
348,communication
349,accounting
350,
351,product & service marketing
352,
353,
354,
355,
356,
357,
358,
359,ressources humaines
360,
361,
362,administrative
363,accounting
364,accounting
365,accounting
366,accounting
367,accounting
368,accounting
369,
370,accounting
371,accounting
372,
373,accounting
374,
375,
376,ressources humaines
377,
378,accounting
379,production & logistique
380,
381,
382,communication
383,
384,communication
385,
386,it
387,administrative
388,
389,accounting
390,consulting
391,legal
392,achats
393,
394,administrative
395,accounting
396,"finance, risk and insurance"
397,it
398,
399,
400,
401,accounting
402,accounting
403,
404,
405,
406,ressources humaines
407,legal
408,
409,sales representative
410,general management
411,accounting
412,
413,
414,
415,accounting
416,communication
417,administrative
418,
419,administrative
420,administrative
421,
422,
423,
424,
425,accounting
426,
427,
428,accounting
429,accounting
430,
431,
432,administrative
433,accounting
434,accounting
435,ressources humaines
436,administrative
437,
438,accounting
439,communication
440,
441,administrative
442,marketing
443,
444,
445,accounting
446,marketing
447,
448,production & logistique
449,accounting
450,marketing
451,
452,accounting
453,production & logistique
454,marketing
455,ressources humaines
456,
457,
458,
459,
460,
461,
462,
463,
464,ressources humaines
465,
466,accounting
467,accounting
468,
469,
470,accounting
471,
472,legal
473,administrative
474,accounting
475,
476,accounting
477,
478,
479,
480,accounting
481,
482,accounting
483,
484,
485,
486,
487,
488,
489,accounting
490,accounting
491,accounting
492,
493,administrative
494,ressources humaines
495,
496,accounting
497,
498,marketing
499,accounting
500,
501,
502,
503,accounting
504,
505,
506,
507,accounting
508,
509,
510,it
511,
512,
513,accounting
514,ressources humaines
515,
516,recherche et développement
517,accounting
518,
519,recherche et développement
520,ressources humaines
521,legal
522,
523,
524,
525,ressources humaines
526,ressources humaines
527,
528,
529,it
530,
531,"finance, risk and insurance"
532,
533,
534,
535,
536,
537,ressources humaines
538,
539,
540,
541,
542,accounting
543,
544,accounting
545,
546,administrative
547,
548,
549,it
550,accounting
551,
552,communication
553,
554,
555,marketing
556,accounting
557,communication
558,accounting
559,
560,
561,ressources humaines
562,
563,accounting
564,communication
565,ressources humaines
566,accounting
567,accounting
568,
569,marketing
570,
571,administrative
572,
573,ressources humaines
574,
575,
576,
577,
578,
579,accounting
580,
581,accounting
582,accounting
583,it
584,
585,
586,product & service marketing
587,accounting
588,marketing
589,ressources humaines
590,accounting
591,
592,
593,accounting
594,recherche et développement
595,
596,marketing
597,accounting
598,
599,accounting
600,administrative
601,accounting
602,
603,sales representative
604,
605,accounting
606,accounting
607,ressources humaines
608,
609,
610,administrative
611,communication
612,
613,
614,marketing
615,
616,marketing
617,
618,it
619,
620,
621,ressources humaines
622,
623,
624,
625,accounting
626,
627,ressources humaines
628,
629,production & logistique
630,
631,
632,
633,accounting
634,
635,consulting
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,
650,
651,
652,
653,
654,
655,
656,
657,
658,
659,
660,
661,
662,
663,
664,production & logistique
665,
666,
667,
668,
669,
670,
671,
672,
673,
674,
675,ressources humaines
676,
677,
678,
679,
680,
681,
682,
683,
684,
685,
686,
687,
688,
689,
690,
691,
692,
693,
694,
695,
696,
697,
698,
699,communication
700,accounting
701,
702,ressources humaines
703,
704,
705,
706,
707,
708,
709,
710,
711,
712,
713,
714,
715,
716,
717,
718,
719,
720,
721,
722,
723,
724,
725,
726,
727,administrative
728,
729,
730,
731,
732,
733,
734,
735,
736,
737,
738,communication
739,
740,
741,
742,
743,legal
744,
745,ressources humaines
746,communication
747,accounting
748,communication
749,accounting
750,general management
751,direction générale
752,accounting
753,
754,
755,
756,
757,accounting
758,
759,general management
760,accounting
761,
762,product & service marketing
763,it
764,
765,product & service marketing
766,accounting
767,
768,
769,"finance, risk and insurance"
770,communication
771,legal
772,
773,production & logistique
774,
775,ressources humaines
776,
777,accounting
778,
779,communication
780,
781,accounting
782,accounting
783,
784,
785,administrative
786,accounting
787,ressources humaines
788,administrative
789,accounting
790,
791,
792,
793,
794,ressources humaines
795,
796,sales representative
797,ressources humaines
798,"finance, risk and insurance"
799,
800,
801,
802,
803,
804,production & logistique
805,"finance, risk and insurance"
806,
807,
808,accounting
809,accounting
810,legal
811,accounting
812,
813,
814,
815,
816,ressources humaines
817,
818,ressources humaines
819,
820,accounting
821,ressources humaines
