item_id,language,name,nb_views,description,created_at,Difficulty,Job,Software,Theme,duration,type
10,en,Create folders to sort your emails,242.0,"If you want to sort youremails into personalizedfolders, or if you are aWindows user and you are used toright-click and drag anddrop, Outlook allows you to keepthese habits since you willbe able to create folders andsort your emails into folders bydoing a drag and drop or a right-click.First, we're going to create folders.Right-click on Inbox.A menu appears allowing meto create a subfolder that Irename Accounting, for example.So if I want to create a newsubfolder into Accounting, it's the same way.Right-click on this folder tocreate a new one or rename or delete it.Manage your folders with asimple right-click and yougain access to all possible options.Then to put messages in thisfolder that I just created,I'll be able to use drag and drop.You can also useright-click on the message to move it.Here the first folder is Accountingbecause it's the last folder I used.Here are the latestfolders you used and if you wouldlike to show all of yourtree, click on the Move to aDifferent Folder tovisualise all your folders and choosein which folder youwant to move this email.Last tip,if you want to move severalmessages at the same time,you can use multi-selectingby pressing the Ctrl key toselect messages or checkthe box next to a message.When you do this, Outlookoffers you some actions forthese messages: delete them,flag them and the Move option.This way, I will be able tochoose the folder I want toput all these messages in.",2016,Beginner,"['Accounting', 'Financial', 'Human resources', 'Project manager', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],['Organize'],98.0,tutorial
11,en,Signature settings,159.0,"You can createa signature which will beautomatically included in all your emails.You can also choose to insertit manually for some messages.First of all, you haveto create the signature.Click on the wheel toaccess email settings.A new page opens andin email settings clickemail signature.Type it,select your colors,bold button, italic, et cetera.You can add a picture, yourcompany logo for example.You can find a pictureon the web, select it,and copy paste it into your signature.You can also add it byclicking on this iconand browsing for your logo.Once your signature iscreated you can save itby clicking on this button at the top.For the integration, two possibilities.I can decide to includeautomatically my signatureto all new messages I composeor on messages I forward or reply to,or do it manually for only a few messages.In this case, when youcreate a new messageyour signature will beautomatically added to this message.",2016,Beginner,"['Accounting', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],['Customize'],80.0,tutorial
12,en,Create and use rules,121.0,"You can create rules thatwill improve your daily use oryour inbox classification. A rule is an action that Outlookmakes automatically on incoming or outgoingmessages based onconditions you specify.One of the most useful rules and themost used is automatic classification.Here are the twoways to create a rule.First way is to simply right click on amessage and use the Create Rule option. Here, the advantage is that I willhave some predefinedelements made by Outlook.For example, it gives methe possibility to create arule from a received or sent messagewith some recovered words from the message. So the first thing to do is toadd a name for your rule anddelete some criteria that Idon't need to create my rule.Once the message isreceived by someone, move thismessage to a folder with the name ofthe person and I can save this rule.Automatically when I receivea message from this person,Outlook will sort itin the right folder.Second way, if you want tostart again and create a newrule, you can click onthe Wheel in Email options.Click on Inbox and SweepRules on the left menu.I can add one by clicking onPlus, create a new rule when the new message comes.dWe have to specify someconditions, actions and exceptions oryou can start from a predefined rule.Move a message from asender to a folder, move messageswhich contain specific words, etc.I want to create my own rules,so I choose the first option.In my example, I want toautomatically categorisemessages which contain aspecific word in the object orthe body of the message. Igive a name to this rule.I specify the word to Outlookso I can take it into account.I can add several eventualities.By clicking on the Plus, I canadd other words or expressions.Now we have to specifywhat Outlook has to do when itidentifies this word in the message.I want to mark thismessage in a category.I use the category Ihave created and click OK.I can display moreoptions and add more actions.We can go further whenwriting a rule, but that needsreflection beforestarting to make a rule.I can save it. It's created, it'sactivated and I can deactivate it at any time.We can have several rulesactivated, but alsodeactivate or delete them.",2016,Intermediate,"['Accounting', 'Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],['Organize'],155.0,tutorial
13,en,Use tasks in Outlook Web App,78.0,"A task management moduleexists in Outlook Web App.It allows you to organiseyour activities defining adeadline list, priorities, etc.We have seen in anothervideo that it's possible to makea task from an email simplyby assigning a flag on it andchoose a deadline, forexample, I automatically create atask for this email. I canaccess the task list from theapp launcher using the tasks style.In this list, I find allthe tasks created from emailsand also all taskscreated in this module.To create a new task, clickNew at the top of the window.Write a subject, maybe a deadline,and indicate details about this task.You can display moredetails, for example a start date,an end date, thestatus of the task if you'vealready started, possibly apercentage complete, a priority,high, normal or low and a repetition.This could be interestingwhen you have some recurringtasks you have to doevery week or every month.We can repeat this task, likean appointment in the calendar.For example, here, everyMonday in a specified periodfrom February to March,this task will be repeated.Once I indicate all thedetails, I can save it.It appears in this list and I canmodify it or go further on this task.To modify it, I just clickon the task and then click onEdit to display the screenagain with all the options andindicate for example, a progress.Once you are done with the task, youcan mark it ascompleted here or delete it.But it may be betterto mark it as completed.This way, Outlook keeps track ofthe task in the completed elements.Completed elements will be saved.Here are the overduetasks and active tasks.",2016,Intermediate,"['Accounting', 'Financial', 'Human resources', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],['Organize'],122.0,tutorial
14,en,Create a meeting within the calendar,132.0,"Here's how to create a meetingusing your Office 365 calendar.When you are on your calendar,right click new.Indicate a name to your meeting,a location,choose a room eventuallyif your administratorhas scheduled rooms in your organization,add participants by entering their nameor click plus in this field on the right.You can directly enter theemail address of someoneby typing his or her emailaddress in this field.Add a date and hour of your appointment.Indicate also the detail ofthe meeting in this part.Each participant willreceive these detailsat the same time.And eventually repeat ifthis meeting is recurringeach week or each month, for example.To use Skype for your meetings,you can use the Skypemeeting button particularlyif there are people who arenot part of your organization.The schedule assistantwill allow you to knowabout the availabilities ofeach contact that I find hereon each column and thenfind a common date.This tool will allow meto correct my meetingif people aren't available.Here I notice that everybodyis available in the afternoons,so I change the hour to 2:00 PM.When you change the dateand hour of your meeting,click on OK and send the invitation.Each participant will receive an emailwith the possibility toaccept a meeting or refuse it.I can then be aware of the answersby clicking again on my meeting.",2016,Beginner,"['Accounting', 'Financial', 'Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],"['Organize', 'Communicate']",96.0,tutorial
15,en,Sharing your calendar,87.0,"If you want to share otherinformation of your calendar,you can share yourcalendar from Outlook Online.I want to share mycalendar to someone.I click here on ShareCalendar, and I typehis email address. Then Idecide the detail level I want.Let's choose Availabilitiesonly to see what is happening.Click on Send. He will receivea share invitation like this one.When I click on Accept, theshare connection is createdand I can see hiscalendar beside mine.I can also mask everydetail or display the calendar ofsomeone by clicking here onthe calendar of a contact.You'll notice that myshared calendar displays onlyavailabilities forappointments and meetings.When my colleague hasconfigured its share options, hechooses Availability only.To modify sharing permissionof a calendar, in thenavigation pane on the left, rightclick on the calendar under MyCalendars, then select Permissions.You see a list of people withwhom you shared your calendar.I grant access to this person to givehim more information to my calendar.This time I choose LimitedDetails, then I click on Save.Here are a few examples.Eric has shared his calendarwith me by choosing Limited Details.I can only see theobject of his appointments.Here Sebastian hasshared every detail with me.I can open his appointmentsto display the content andanswer or forward from my mailbox.However, these threeoptions won't allow me tomodify or to createelements on a coworker's calendar.To do so, I need anaccess as an editor.In this case, my coworkercould delete, create or modifyelements of my calendar.Finally, the delegate optionallows me to answer forsomeone to meeting requests.If you use Outlook, you'llfind the same possibilities ofpermission in Outlook Web App.All these sharing optionswork perfectly if you want toshare your calendar with otherpeople from the same organisation.But what about sharinginformation of detailed calendarswith external peopleto your organisation?In the following video,we'll see how to use thepublication option and how to senda copy of your calendar via email.",2016,Intermediate,"['Accounting', 'Financial', 'Human resources', 'Project management', 'Communication', 'Marketing']",['Outlook Online'],['Share'],142.0,tutorial
16,en,Introducing yammer,304.0,"Yammer is an enterprisesocial network that allows teamsto organize themselves ingroups in order to collaborate,exchange and easily shareinformation and documents ontopics or projectsof interest to them.Yammer makes it easy to askquestions to all members ofthe network via groups orprivate messaging and in particular, for experts to engagein quick and productive discussions.Yammer also allows quickand efficient searches of allfile types available in the network; Office documents, images or videos for example.Yammer also enables youto broaden exchanges andcollaboration in the networkby inviting your customers,partners or suppliersto join you in a group.Finally, Yammer offers great accessibility, since you can connect from anywhere andnot only from your computer,but also when on the go viayour tablet or smartphone.",2016,Beginner,"['Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Yammer'],['Discover'],62.0,tutorial
17,en,Overview of the functions of Yammer,114.0,"To access Yammer, whenyou're logged into Office 365, go to the application launcherand click on the Yammer tile.The page that appears on the screenis by default the homepage of Yammer.In this page as in all pages ofYammer, you will find three separate panes.In the first pane on theleft at the upper part, you have three buttons at your disposal.The first one allows youto return at any time on the homepage on which we currently are.The second one allows youto access your Yammer inbox.Please note that this inboxis not your Outlook inbox.The third button allows youto access your notifications.You will notice that to theright of these three controlsanother button in the formof a toothed wheel, which asin all Office 365 applications gives you access to additional functionalities.This toothed wheel will allow you, for instance, to be able to access the parameters related to your profile. The search bar is located just below, allowing you to search the entire Yammer network.Under the search bar is ablock dedicated to groups that allow you to see more groups in the network, create a new group and of course view the list ofgroups to which you are registered.Below the block dedicatedto groups is another blockwhich is dedicated toyour private messages.In other words, this blockallows you to exchange withone or more people in aconfidential way and outside a group.In the middle pane is the discussionchat feed containing the conversations.The right pane consists ofadditional features, allowing you for instance to invite yourcoworkers to join you on Yammer.In this section, youwill also find additional information, such as the recentactivities of your colleagues.Finally, you can customizeyour environment by installingadditional applications toimprove your experience in Yammer.To do this, click the toothedwheel at the top of the left pane.Then click on Apps.On this page, you will seethe most downloaded apps ofthe moment in the slider atthe top of the central pane.Below are presented all theavailable applications for Yammer whether theyare free or paying.For each application,you visualize the name, the developer and who uses itamong your collaborators.In all cases, by clicking onthe button in front of each app, you have the possibilityto learn more about it or try it.",2016,Beginner,"['Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Yammer'],['Discover'],179.0,tutorial
18,en,Edit your profile in Yammer,60.0,"There are two options possible insigning up for the Yammer network.If you have an Office 365 account, simply open the application launcher andclick on the Yammer tile.Then, in the page thatopens, all you need to do is fillthe requestedinformation step by step.For those without an Office365 account, but willing to register on Yammer, go to www.yammer.com. Enter your business email address and click on Sign Up Free. In your  account activation email, which you receive in your mail inbox,click on Complete sign up.On the page that opens inyour browser, you just have tofill in the informationrequested step by step.",2016,Beginner,"['Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Yammer'],['Customize'],57.0,tutorial
19,en,"Create, animate, and delete a group",66.0,"Before creating a newgroup, first check systematicallythat it will not be a duplicateof another group in the network.To do this, use the general search bar and the Yammer network and enter keywordsrepresentative of the topicyou want to develop in your group.If the search does not doanything, you can create your group.If not, think aboutchecking the content of each groupdisplayed in theresult of your search.Then, to create yourgroup, click the +button in the leftpane of the group area.On the page that appears, beginby giving a name to the group.Then, if you wish, you canalready add members to this group.Rest assured, you canalways add others later.Then, define who canaccess group conversations byclicking Public or Private.If you click on Public, allthe members of the networkwill have access to theconversations of the group and will be able to participate. If you click on Private, only the members you have added or approved will have access to this group.In this case you will alsoneed to decide whether you want your group to belisted in the network.If not, uncheck this option.Then, click on Create group.When the group pageappears, consider completing it togive it morevisibility on the network.To do this, click the toothed wheel in the upper right corner of the central pane. On the page that appears, begin by adding a clear and syntheticdescription of the group's objective.Then, add a picturerepresentative of the group.You can also customize your group bychoosing its color and its pattern.On this page, you can also addmembers or administrators to the group.Remember to click Savechange before leaving the page.Once you have finishedcustomizing your group, consider marking the items that you think are important by pinning them to the right panein the network resources.This can be a file from Yammer orOneDrive, or just a link to a web page.Finally, do not forget topost the first message in the thread to welcome the new members.Here, your group is created.Of course, later, if youwish, you can delete this groupby clicking on the toothed wheel again, and then on the page that appears byclicking on Delete at the bottom.",2016,Beginner,"['Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Yammer'],"['Share', 'Collaborate', 'Communicate']",187.0,tutorial
20,en,Navigating in a group,65.0,"To access a group, simplyselect it in the left panepresent on all pages of Yammer.automatically part of the group or a company.When the page of the groupyou clicked on appears, at the top of the center pane,you will find the maininformation related to this group: the group display image, a briefdescription of its contents.Below this basicinformation, you will find differenttabs that will allow you tonavigate the different pages of the group.The New conversations tablets you view only the recentconversations in the group.All conversations allows you to view all groupconversations without restriction.The Files tab allows you toaccess the complete list offiles that have beenpublished in the group by all members.You can find Officedocuments, images, videos, PDFs or zip files for example.The Notes tab allows you toaccess all of the notes thatwere createdspecifically in this group.Finally, by typing keywordsin the search bar, you can launch targetedsearches directly in the group.Under these tabs, you willfind the conversation threadwhere all messages aredisplayed in a chronological order.In the right pane, youhave access to additionalinformation about the group, such as list of members of the group, the possibility to add members to the group yourself as well as other information on the content of the group made available bythe administrator or network resources that groupedtogether in a single place,documents or linksimportant to the group.",2016,,"['Project manager', 'Project management']",['Yammer'],['Communicate'],122.0,tutorial
21,en,"Create, share and manage a note in a group",116.0,"You can create a noteat any time from a group.To do this, click on theclick on Create a note. On the page that appears, begin by indicating the title of the note.If you wish, you can alsoadd links to this note usingthe buttons at the topright of the note, you will be able to create a link to a person, a link to a web address, a link to a fileor another note. Do not forget to click here to add one or more topics that best summarize the content of your note.All you have to do is startwriting the contents of the note.Attention, as you write thecontents of this note, know that the note is stillconsidered by Yammer as a draft.To publish it, clickthe Publish button.Be aware that you and yourcolleagues can change the content of this note atthe same time in real time.In this case, thecontributions of each in the note willbe identifiable, thanks toa color code that makes itpossible to differentiate each of the authors.Finally, if you are thecreator of the note oradministrator of the groupand you no longer want this note to be modified, in theright pane of the page, click on Mark official and ifyou want to delete the note,click Delete this note.",2016,Beginner,"['Human resources', 'Project manager', 'Project management', 'Assistant']",['Yammer'],"['Produce', 'Collaborate']",112.0,tutorial
22,en,Publish or reply to a message in a group,101.0,"To publish a message in agroup, you must click on the Share something with this groupbox to be able to enter your text.your text, you can directly copyor paste a link to an internet page.You can also attachfiles to your message.For example, a gif filefrom a Yammer library that willincrease thevisibility of your message.Or, attach a file fromOneDrive, Yammer, or your computer.If you want people toreceive your message directly intheir inbox, simply add themto the Add people to notify box.Also note that you can shareyour message with people whoare not members of the group.In this case, Yammer will notify you.Finally, when you publisha message, always think ofentering one or more topicsthat summarize, as well aspossibly the content ofyour message, by clicking here.a topic by using a hashtagdirectly in themessage text like this.Thanks to these topics, youand the other members of the group will be able to find the message more easily or follow up on the topics.When your message is ready, simply click Post. Your message will then automaticallyappear in the group's threadoffering thumbnail views ofyour attachments so thatthey are visible to everyone.Once your message ispublished, and as the author, you can modify it at any time byclicking on the edit button.In the ellipsis menu, youwill also have the option ofadding a bookmark or topicor deleting your message.Moreover, if a member wishesto react to your message andto participate in theconversation, he will be able tonotice that he liked thecontent of your message by clicking on Like,participate in the conversation byclicking Reply to post areply to your post, and finally, with this button, he willbe able to, if he wishes, to share the conversation withthe group or with specificmembers of thenetwork in private message.",2016,,"['Project manager', 'Project management', 'Communication', 'Marketing']",['Yammer'],['Communicate'],143.0,tutorial
23,en,Following topics in Yammer,64.0,"To follow a topic whichinterested you in a conversation,click on the Topic below the message.In the page that is displayed,you just need to click on Follow.Another way to followtopics is to click the toothedwheel at the top ofthe left pane and select Apps. On the app directorypage that appears, go to the My App section and click on Topics.In this page, you will find allthe topics existing in your network.Search and click on thetopic you are interested in.Then click on the Followbutton located at the top right.From now on, you can findall posts containing this topicin your news feed on theYammer homepage by clicking here.",2016,,"['Human resources', 'Assistant', 'Marketing']",['Yammer'],['Research'],66.0,tutorial
